network_cidr,ip,hostname,fqdn,mac,state,ip_version,ptr_record,bam_network_id,bam_ip_entity_id,lease_start,lease_end,lease_state,source_system,tenant,document,snapshot_at,_ingested_at,_version
"172.16.50.0/24","172.16.50.1","dc-core-sw-01","dc-core-sw-01.datacenter.example.com","00:0A:95:9D:68:16","STATIC","IPv4","1.50.16.172.in-addr.arpa",100003,400001,,,,"BlueCat BAM","datacenter","Device hostname: dc-core-sw-01 | FQDN: dc-core-sw-01.datacenter.example.com | IP: 172.16.50.1 | MAC: 00:0A:95:9D:68:16 | State: STATIC | PTR: 1.50.16.172.in-addr.arpa | Network: 172.16.50.0/24 | Source: BlueCat BAM | Tenant: datacenter","2024-01-15T10:00:00.000Z","2024-01-15T10:00:00.000Z",1705315200000
"172.16.50.0/24","172.16.50.2","dc-core-sw-02","dc-core-sw-02.datacenter.example.com","00:0A:95:9D:68:17","STATIC","IPv4","2.50.16.172.in-addr.arpa",100003,400002,,,,"BlueCat BAM","datacenter","Device hostname: dc-core-sw-02 | FQDN: dc-core-sw-02.datacenter.example.com | IP: 172.16.50.2 | MAC: 00:0A:95:9D:68:17 | State: STATIC | PTR: 2.50.16.172.in-addr.arpa | Network: 172.16.50.0/24 | Source: BlueCat BAM | Tenant: datacenter","2024-01-15T10:00:00.000Z","2024-01-15T10:00:00.000Z",1705315200000
"172.16.50.0/24","172.16.50.10","esxi-host-01","esxi-host-01.datacenter.example.com","00:50:56:87:65:43","STATIC","IPv4","10.50.16.172.in-addr.arpa",100003,400010,,,,"BlueCat BAM","datacenter","Device hostname: esxi-host-01 | FQDN: esxi-host-01.datacenter.example.com | IP: 172.16.50.10 | MAC: 00:50:56:87:65:43 | State: STATIC | PTR: 10.50.16.172.in-addr.arpa | Network: 172.16.50.0/24 | Source: BlueCat BAM | Tenant: datacenter","2024-01-15T10:00:00.000Z","2024-01-15T10:00:00.000Z",1705315200000
"172.16.50.0/24","172.16.50.11","esxi-host-02","esxi-host-02.datacenter.example.com","00:50:56:87:65:44","STATIC","IPv4","11.50.16.172.in-addr.arpa",100003,400011,,,,"BlueCat BAM","datacenter","Device hostname: esxi-host-02 | FQDN: esxi-host-02.datacenter.example.com | IP: 172.16.50.11 | MAC: 00:50:56:87:65:44 | State: STATIC | PTR: 11.50.16.172.in-addr.arpa | Network: 172.16.50.0/24 | Source: BlueCat BAM | Tenant: datacenter","2024-01-15T10:00:00.000Z","2024-01-15T10:00:00.000Z",1705315200000
"172.16.50.0/24","172.16.50.12","esxi-host-03","esxi-host-03.datacenter.example.com","00:50:56:87:65:45","STATIC","IPv4","12.50.16.172.in-addr.arpa",100003,400012,,,,"BlueCat BAM","datacenter","Device hostname: esxi-host-03 | FQDN: esxi-host-03.datacenter.example.com | IP: 172.16.50.12 | MAC: 00:50:56:87:65:45 | State: STATIC | PTR: 12.50.16.172.in-addr.arpa | Network: 172.16.50.0/24 | Source: BlueCat BAM | Tenant: datacenter","2024-01-15T10:00:00.000Z","2024-01-15T10:00:00.000Z",1705315200000
"172.16.50.0/24","172.16.50.20","storage-array-01","storage-array-01.datacenter.example.com","00:0C:29:3E:4F:5A","STATIC","IPv4","20.50.16.172.in-addr.arpa",100003,400020,,,,"BlueCat BAM","datacenter","Device hostname: storage-array-01 | FQDN: storage-array-01.datacenter.example.com | IP: 172.16.50.20 | MAC: 00:0C:29:3E:4F:5A | State: STATIC | PTR: 20.50.16.172.in-addr.arpa | Network: 172.16.50.0/24 | Source: BlueCat BAM | Tenant: datacenter","2024-01-15T10:00:00.000Z","2024-01-15T10:00:00.000Z",1705315200000
"172.16.50.0/24","172.16.50.21","storage-array-02","storage-array-02.datacenter.example.com","00:0C:29:3E:4F:5B","STATIC","IPv4","21.50.16.172.in-addr.arpa",100003,400021,,,,"BlueCat BAM","datacenter","Device hostname: storage-array-02 | FQDN: storage-array-02.datacenter.example.com | IP: 172.16.50.21 | MAC: 00:0C:29:3E:4F:5B | State: STATIC | PTR: 21.50.16.172.in-addr.arpa | Network: 172.16.50.0/24 | Source: BlueCat BAM | Tenant: datacenter","2024-01-15T10:00:00.000Z","2024-01-15T10:00:00.000Z",1705315200000
"172.16.50.0/24","172.16.50.30","backup-server-01","backup-server-01.datacenter.example.com","00:15:5D:01:02:03","STATIC","IPv4","30.50.16.172.in-addr.arpa",100003,400030,,,,"BlueCat BAM","datacenter","Device hostname: backup-server-01 | FQDN: backup-server-01.datacenter.example.com | IP: 172.16.50.30 | MAC: 00:15:5D:01:02:03 | State: STATIC | PTR: 30.50.16.172.in-addr.arpa | Network: 172.16.50.0/24 | Source: BlueCat BAM | Tenant: datacenter","2024-01-15T10:00:00.000Z","2024-01-15T10:00:00.000Z",1705315200000
"172.16.50.0/24","172.16.50.100","vm-web-01","vm-web-01.datacenter.example.com","00:50:56:8A:11:22","STATIC","IPv4","100.50.16.172.in-addr.arpa",100003,400100,,,,"BlueCat BAM","datacenter","Device hostname: vm-web-01 | FQDN: vm-web-01.datacenter.example.com | IP: 172.16.50.100 | MAC: 00:50:56:8A:11:22 | State: STATIC | PTR: 100.50.16.172.in-addr.arpa | Network: 172.16.50.0/24 | Source: BlueCat BAM | Tenant: datacenter","2024-01-15T10:00:00.000Z","2024-01-15T10:00:00.000Z",1705315200000
"172.16.50.0/24","172.16.50.101","vm-web-02","vm-web-02.datacenter.example.com","00:50:56:8A:11:23","STATIC","IPv4","101.50.16.172.in-addr.arpa",100003,400101,,,,"BlueCat BAM","datacenter","Device hostname: vm-web-02 | FQDN: vm-web-02.datacenter.example.com | IP: 172.16.50.101 | MAC: 00:50:56:8A:11:23 | State: STATIC | PTR: 101.50.16.172.in-addr.arpa | Network: 172.16.50.0/24 | Source: BlueCat BAM | Tenant: datacenter","2024-01-15T10:00:00.000Z","2024-01-15T10:00:00.000Z",1705315200000
"172.16.50.0/24","172.16.50.102","vm-db-01","vm-db-01.datacenter.example.com","00:50:56:8A:11:24","STATIC","IPv4","102.50.16.172.in-addr.arpa",100003,400102,,,,"BlueCat BAM","datacenter","Device hostname: vm-db-01 | FQDN: vm-db-01.datacenter.example.com | IP: 172.16.50.102 | MAC: 00:50:56:8A:11:24 | State: STATIC | PTR: 102.50.16.172.in-addr.arpa | Network: 172.16.50.0/24 | Source: BlueCat BAM | Tenant: datacenter","2024-01-15T10:00:00.000Z","2024-01-15T10:00:00.000Z",1705315200000
