network_cidr,ip,hostname,fqdn,mac,state,ip_version,ptr_record,bam_network_id,bam_ip_entity_id,lease_start,lease_end,lease_state,source_system,tenant,document,snapshot_at,_ingested_at,_version
"192.168.100.0/24","192.168.100.1","guest-gw-01","guest-gw-01.guest.example.com","00:50:56:C0:00:01","STATIC","IPv4","1.100.168.192.in-addr.arpa",100002,300001,,,,"BlueCat BAM","guest","Device hostname: guest-gw-01 | FQDN: guest-gw-01.guest.example.com | IP: 192.168.100.1 | MAC: 00:50:56:C0:00:01 | State: STATIC | PTR: 1.100.168.192.in-addr.arpa | Network: 192.168.100.0/24 | Source: BlueCat BAM | Tenant: guest","2024-01-15T10:00:00.000Z","2024-01-15T10:00:00.000Z",1705315200000
"192.168.100.0/24","192.168.100.2","guest-ap-01","guest-ap-01.guest.example.com","00:50:56:C0:00:02","STATIC","IPv4","2.100.168.192.in-addr.arpa",100002,300002,,,,"BlueCat BAM","guest","Device hostname: guest-ap-01 | FQDN: guest-ap-01.guest.example.com | IP: 192.168.100.2 | MAC: 00:50:56:C0:00:02 | State: STATIC | PTR: 2.100.168.192.in-addr.arpa | Network: 192.168.100.0/24 | Source: BlueCat BAM | Tenant: guest","2024-01-15T10:00:00.000Z","2024-01-15T10:00:00.000Z",1705315200000
"192.168.100.0/24","192.168.100.3","guest-ap-02","guest-ap-02.guest.example.com","00:50:56:C0:00:03","STATIC","IPv4","3.100.168.192.in-addr.arpa",100002,300003,,,,"BlueCat BAM","guest","Device hostname: guest-ap-02 | FQDN: guest-ap-02.guest.example.com | IP: 192.168.100.3 | MAC: 00:50:56:C0:00:03 | State: STATIC | PTR: 3.100.168.192.in-addr.arpa | Network: 192.168.100.0/24 | Source: BlueCat BAM | Tenant: guest","2024-01-15T10:00:00.000Z","2024-01-15T10:00:00.000Z",1705315200000
"192.168.100.0/24","192.168.100.10","android-001","","8C:85:90:12:34:56","DHCP_ALLOCATED","IPv4","",100002,300010,"2024-01-15T09:00:00.000Z","2024-01-15T13:00:00.000Z","ACTIVE","BlueCat BAM","guest","Device hostname: android-001 | FQDN:  | IP: 192.168.100.10 | MAC: 8C:85:90:12:34:56 | State: DHCP_ALLOCATED | PTR:  | Network: 192.168.100.0/24 | Source: BlueCat BAM | Tenant: guest | Lease start: 2024-01-15T09:00:00.000Z | Lease end: 2024-01-15T13:00:00.000Z | Lease state: ACTIVE","2024-01-15T10:00:00.000Z","2024-01-15T10:00:00.000Z",1705315200000
"192.168.100.0/24","192.168.100.11","iphone-002","","DC:2B:2A:98:76:54","DHCP_ALLOCATED","IPv4","",100002,300011,"2024-01-15T08:30:00.000Z","2024-01-15T12:30:00.000Z","ACTIVE","BlueCat BAM","guest","Device hostname: iphone-002 | FQDN:  | IP: 192.168.100.11 | MAC: DC:2B:2A:98:76:54 | State: DHCP_ALLOCATED | PTR:  | Network: 192.168.100.0/24 | Source: BlueCat BAM | Tenant: guest | Lease start: 2024-01-15T08:30:00.000Z | Lease end: 2024-01-15T12:30:00.000Z | Lease state: ACTIVE","2024-01-15T10:00:00.000Z","2024-01-15T10:00:00.000Z",1705315200000
"192.168.100.0/24","192.168.100.12","guest-laptop-003","","F0:DE:F1:45:67:89","DHCP_ALLOCATED","IPv4","",100002,300012,"2024-01-15T10:15:00.000Z","2024-01-15T14:15:00.000Z","ACTIVE","BlueCat BAM","guest","Device hostname: guest-laptop-003 | FQDN:  | IP: 192.168.100.12 | MAC: F0:DE:F1:45:67:89 | State: DHCP_ALLOCATED | PTR:  | Network: 192.168.100.0/24 | Source: BlueCat BAM | Tenant: guest | Lease start: 2024-01-15T10:15:00.000Z | Lease end: 2024-01-15T14:15:00.000Z | Lease state: ACTIVE","2024-01-15T10:00:00.000Z","2024-01-15T10:00:00.000Z",1705315200000
"192.168.100.0/24","192.168.100.13","","","E4:5F:01:23:45:67","DHCP_ALLOCATED","IPv4","",100002,300013,"2024-01-15T06:00:00.000Z","2024-01-15T10:00:00.000Z","EXPIRED","BlueCat BAM","guest","Device hostname:  | FQDN:  | IP: 192.168.100.13 | MAC: E4:5F:01:23:45:67 | State: DHCP_ALLOCATED | PTR:  | Network: 192.168.100.0/24 | Source: BlueCat BAM | Tenant: guest | Lease start: 2024-01-15T06:00:00.000Z | Lease end: 2024-01-15T10:00:00.000Z | Lease state: EXPIRED","2024-01-15T10:00:00.000Z","2024-01-15T10:00:00.000Z",1705315200000
"192.168.100.0/24","192.168.100.14","","","A8:93:4A:87:65:43","DHCP_ALLOCATED","IPv4","",100002,300014,"2024-01-15T05:00:00.000Z","2024-01-15T09:00:00.000Z","EXPIRED","BlueCat BAM","guest","Device hostname:  | FQDN:  | IP: 192.168.100.14 | MAC: A8:93:4A:87:65:43 | State: DHCP_ALLOCATED | PTR:  | Network: 192.168.100.0/24 | Source: BlueCat BAM | Tenant: guest | Lease start: 2024-01-15T05:00:00.000Z | Lease end: 2024-01-15T09:00:00.000Z | Lease state: EXPIRED","2024-01-15T10:00:00.000Z","2024-01-15T10:00:00.000Z",1705315200000
"192.168.100.0/24","192.168.100.50","","","","DHCP_FREE","IPv4","",100002,300050,,,,"BlueCat BAM","guest","Device hostname:  | FQDN:  | IP: 192.168.100.50 | MAC:  | State: DHCP_FREE | PTR:  | Network: 192.168.100.0/24 | Source: BlueCat BAM | Tenant: guest","2024-01-15T10:00:00.000Z","2024-01-15T10:00:00.000Z",1705315200000
"192.168.100.0/24","192.168.100.51","","","","DHCP_FREE","IPv4","",100002,300051,,,,"BlueCat BAM","guest","Device hostname:  | FQDN:  | IP: 192.168.100.51 | MAC:  | State: DHCP_FREE | PTR:  | Network: 192.168.100.0/24 | Source: BlueCat BAM | Tenant: guest","2024-01-15T10:00:00.000Z","2024-01-15T10:00:00.000Z",1705315200000
