Site Name,Site IP Ranges
"New York","10.1.0.0/16,192.168.1.0/24"
"London","10.2.0.0/16,172.16.0.0/20"
"Tokyo","10.3.0.0/16"
"Sydney","10.4.0.0/16,192.168.2.0/24"
"San Francisco","10.5.0.0/16,172.17.0.0/20"
"Paris","10.6.0.0/16"
"Singapore","10.7.0.0/16,192.168.3.0/24"
"Mumbai","10.8.0.0/16"
"Dubai","10.9.0.0/16,172.18.0.0/20"
"Berlin","10.10.0.0/16"
"Toronto","10.11.0.0/16,192.168.4.0/24"
"Chicago","10.12.0.0/16"
"Dallas","10.13.0.0/16,172.19.0.0/20"
"Seattle","10.14.0.0/16"
"Boston","10.15.0.0/16,192.168.5.0/24"
